Facility_ID,Facility_Name,CO2e_kt,Unit_Count,direct_use_heat_breakeven_price_USD_per_MMBTU,geophires_summary,Unit_Temp_degC,Temp_3000m,Temp_plus15C_Available_3000m,Latitude,Longitude,Temp_Gradient_degC_per_km
1006694,Green Plains York LLC,1002.0,33,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,40.7,-97.57,37.5
1005929,HERON LAKE BIOENERGY LLC,998.0,35,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,43.86,-95.3,37.5
1004291,HOLLYFRONTIER EL DORADO REFINING LLC,951.0,12,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,37.79,-96.87,37.5
1006052,KIMBERLY-CLARK CORP-JENKS FAC,949.0,66,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,125,false,35.97,-95.93,37.5
1004900,WESTLAKE VINYLS CO LP,913.0,57,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,125,false,30.21,-91.01,37.5
1006030,POET Biorefining - Hudson,884.0,33,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,43.1,-96.48,37.5
1006193,STEVENS POINT MILL,864.0,154,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,44.52,-89.58,37.5
1005683,"SIOUXLAND ETHANOL, LLC",826.0,22,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",450.0,125,false,42.45,-96.59,37.5
1007565,THE ANDERSONS MARATHON HOLDINGS LLC,817.0,18,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",450.0,125,false,41.99,-95.39,37.5
1006901,CHARTER STEEL,812.0,93,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",180.0,100,false,43.4,-87.95,37.5
1006453,SHINTECH INCORPORATED,804.0,22,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,125,false,28.99,-95.36,37.5
1006022,"Big River Resources Boyceville, LLC",797.0,33,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,100,false,45.05,-91.98,37.5
1005812,GreenAmerica Biofuels Ord LLC,793.0,16,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",450.0,125,false,41.57,-98.82,37.5
1004396,DOMTAR A. W. LLC-NEKOOSA,787.0,165,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,100,false,44.31,-89.9,37.5
1004305,Phillips 66 BAYWAY REFINERY,784.0,15,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,100,false,40.64,-74.22,37.5
1005586,HIGHWATER ETHANOL LLC,758.0,60,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,44.23,-95.3,37.5
1006084,Poet Biorefining-Coon Rapids,742.0,63,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,41.86,-94.63,37.5
1006138,"UNITED ETHANOL, LLC",739.0,30,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,100,false,42.76,-88.92,37.5
1005766,Dyno Nobel,714.0,33,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,100,false,45.91,-122.82,37.5
1003991,Chevron Phillips Chemical Company LP Cedar Bayou Plant,703.0,18,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,125,false,29.83,-94.92,37.5
1007695,NUCOR STEEL NEBRASKA,702.0,66,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",180.0,125,false,42.08,-97.36,37.5
1007529,Plymouth Energy LLC,653.0,18,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,125,false,42.73,-96.25,37.5
1004702,"Hankinson Renewable Energy, LLC",634.0,13,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",233.0,100,false,46.07,-96.89,37.5
1006644,ARKEMA BEAUMONT PLANT,622.0,33,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,125,false,30.06,-94.06,37.5
1010704,Tate & Lyle Sucralose LLC,604.0,27,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",260.0,125,false,31.23,-88.07,37.5
